asset_name,state,tariff_code,demand_charge_off_peak,demand_charge_shoulder,demand_charge_peak,export_charge_sun_soaker,project_poi_export_limit_MW,project_poi_import_limit_MW,project_poi_export_limit_MWh_per_interval,project_poi_import_limit_MWh_per_interval,grid_import_penalty,optimize_with_DUOS,TLF_PV_injection,TLF_BESS_injection,TLF_BESS_withdrawal,price_escalation_factor,LGC_eligibility_basis,LGC_price_override_per_MWh,BESS_technology,BESS_coupling_type,BESS_duration_hours,BESS_power_MW,BESS_usable_fraction,BESS_energy_override_MWh,BESS_Start_SoC,BESS_cycles_per_day,BESS_lifetime_years
Orange 2B,NSW,BHND4LS,3432.1063442967443,10295.563478384056,11497.084031827737,918.47094656813,4.99,4.2,4.99,4.2,1.0,True,1.07268105,1.07268105,1.07268105,1.0,Generation,0.0,Jinko,AC,2.0,4.96,0.94576346,0.0,0.0,1.0,20
Punch's Creek,QLD,BHND4LS,3432.106344296744,10295.563478384056,11497.084031827737,918.47094656813,400.0,400.0,400.0,400.0,1.0,False,0.9753,0.9753,0.9772,1.058825,TLF-adjusted net export,17.400849315068498,CATL,DC,4.0,400.0,1.0,1738.5701815348498,0.0,1.0,20
